dbID,log_tau,log_sigma,sf_at_300d,drw_at_300d,sf_excess
1014099,2.94106,-0.996011,0.0722458409769147,0.11924685399374406,0.6058511277849298
1014119,2.84766,-0.689887,0.11442660485054791,0.236675281278392,0.48347509817027456
1015182,2.90528,-0.780472,0.15780210966255673,0.19451759475211905,0.8112485138614313
1015505,2.83854,-1.05482,0.04435663688733649,0.10193051381716833,0.4351654399280132
1016406,4.31032,-1.12974,0.03898659772614062,0.09495871648275565,0.4105636551355506
1016763,5.0,-0.95,0.08394568951339174,0.14406144723768982,0.5827075260106758
101690,3.18628,-0.806917,0.20303014085410637,0.19098020932052717,1.063095184451052
101718,2.12632,-0.824506,0.060407574028427564,0.1212817465629649,0.49807638610370963
1017249,4.29029,-1.01365,0.12487997746608501,0.12403647094383866,1.006800471795334
1017284,5.0,-0.875,0.18219452439767983,0.17121735092979481,1.064112506169927
1017349,3.21651,-1.00659,0.10050440644213444,0.12097719351569794,0.8307715158650382
1017734,3.52467,-1.05897,0.10108852907418568,0.10969779380656895,0.9215183420410071
1018,2.87294,-0.627733,0.2607065167011886,0.27463386960993574,0.9492875626428443
101818,2.84732,-1.11166,0.06718028338873272,0.08960785512372334,0.7497142219951094
1018210,2.514,-0.951816,0.0645476275816171,0.11600545920185217,0.5564188791262207
1018326,4.01249,-0.953684,0.10869741815181869,0.14191162164883236,0.7659514907157925
1018370,2.93677,-0.649072,0.133989258880431,0.2648714820656294,0.5058651759543951
1018542,2.72932,-0.420149,0.31165667672350883,0.4270960147667847,0.729711039082602
1018721,2.70814,-1.07546,0.060070090147569324,0.09385441305966759,0.6400347963326988
1019591,2.93268,-0.78126,0.23371791040447767,0.19521347040611323,1.1972427410785822
101965,2.95338,-0.730653,0.09924401264460023,0.22018830017475582,0.4507233697968225
1019709,0.805338,0.08018,0.0,0.2249411367456901,0.0
1019713,2.84177,-0.894526,0.16208270788644946,0.14754501855435523,1.0985305330843047
1019778,2.38374,-0.873105,0.14339656450781493,0.13011992635834557,1.1020338584645828
1020058,2.60834,-0.402866,0.23894792552167246,0.4268879721373727,0.5597438698619013
1020198,3.3964,-0.916735,0.034231144325453676,0.1510537104977203,0.2266157131305311
1021519,3.02536,-1.08946,0.05443074390776772,0.09755884241332036,0.5579273242825596
102187,2.83408,-1.03117,0.11923064777321654,0.10752263775862766,1.108888790850459
1022068,3.64989,-1.12823,0.05310769215746569,0.09404931045411093,0.5646792294493036
1022962,1.57512,-0.35546,0.16644315529231585,0.20010064682591244,0.8317971877278407
1023080,2.44985,-0.721843,0.28626491227532547,0.19103068833517803,1.4985284027928103
1023490,2.61766,-0.695932,0.10540924575628553,0.21814870145640763,0.4831990520803046
1025069,3.58108,-0.850535,0.23304067015731134,0.17774911244998776,1.3110651690195114
1025590,3.74936,-0.765296,0.22498571787650792,0.2176582151206604,1.0336651789218498
1025740,3.02498,-0.97446,0.09585766692180836,0.1271279042647292,0.7540253847195957
1026527,0.546332,-0.227319,0.054754997544494186,0.08223692929783301,0.6658200641975698
1027365,2.43624,-0.521197,0.25324730995609807,0.3010978040892621,0.8410798966870628
1027475,3.47345,-0.840576,0.06708132719765471,0.18087857981303207,0.3708638539012986
1027921,3.48678,-0.690951,0.23674804179574113,0.25546961415007774,0.9267170288857192
1028255,1.93543,-0.459167,0.09866466464435307,0.2350170267470515,0.41981921910085995
1028306,5.0,-1.05,0.2078462555209162,0.11443207507613934,1.8163286419705502
1029706,3.27647,-0.603164,0.1757736379405962,0.3080495671018898,0.5706018015031252
1030313,2.70511,-0.932662,0.1279645561535655,0.13027105939855083,0.982294584417796
1032361,2.45211,-1.00649,0.0673719927080967,0.09930106815785553,0.6784619134307572
1032378,3.26479,-0.909834,0.13238475071632028,0.15187670831328878,0.8716593359611086
1032950,2.93628,-1.30258,0.08556003290537668,0.058814841953487663,1.4547354045946401
103425,2.58146,-0.83192,0.11626598518201658,0.15731176207654843,0.7390800512770378
103455,2.84902,-1.02871,0.05691300378648092,0.10850879409978526,0.5245013020248241
1034795,5.0,-0.9,0.1273270859369159,0.16163960235413657,0.7877220933639437
1034817,3.05274,-1.19222,0.024786339733058917,0.07732265511791021,0.32055727645748766
1035792,0.832686,-0.297223,0.04580358596654852,0.09735088086630418,0.4704999642422589
103646,5.0,-0.8,0.1001450596236925,0.20349220295592682,0.49213217100697626
1037663,2.74841,-0.71259,0.11715707938490107,0.2190133202886389,0.5349312965553834
1037979,3.32948,-0.876352,0.10547693878466786,0.16495784439328265,0.639417538296609
1038570,2.87859,-0.933318,0.1340183684310594,0.1360498950370017,0.9850677826293818
103913,2.39219,-0.538436,0.25987633396526094,0.2825509351720105,0.9197503940556919
1039144,2.03373,-0.482595,0.1752587603902448,0.24531441821973157,0.7144250291609973
103979,2.14998,-0.540586,0.1763182728288062,0.23784185481317632,0.7413256719146568
1040530,2.0975,-0.437046,0.1486164027449031,0.28871148781144995,0.5147574967365367
10408,3.32102,-1.00557,0.05878582405005258,0.12242231118191985,0.4801888110305049
104193,2.98007,-0.799014,0.10885699604635099,0.18901137476415908,0.5759282804126389
1042114,5.0,-0.925,0.14481067494818042,0.15259762464095436,0.9489707017976473
1042657,5.0,-0.825,0.05929021563740221,0.19210902743992525,0.3086279516767787
1043692,2.88921,-0.916299,0.09355324789168373,0.14180599962850146,0.6597270082843557
104392,2.47208,-1.0062,0.12305877082859419,0.100358362253905,1.2261934936448797
1045019,3.07092,-0.984021,0.16739967144531717,0.1252110417038126,1.336940170510697
1045060,2.38206,-0.933247,0.041148544357032815,0.11318367786774376,0.3635554625209767
1045090,2.44633,-0.65337,0.1530440574360326,0.22325270134109604,0.6855193980484234
1045155,1.95612,-0.658543,0.06158955047142993,0.1516589414204818,0.40610563343357314
1045366,1.42227,-0.090852,0.19525186381333384,0.30867429370111654,0.6325498034585041
1047301,2.94667,-0.764636,0.06723993449735656,0.20336475696313902,0.33063710498050636
104744,3.77386,-0.736155,0.17774758424153983,0.2329340991942344,0.7630809952531821
